item,item_code_v_au_aev,item_code_v_babelnet,item_code_v_cz_nkp,item_code_v_cz_psh,item_code_v_de_brendaenzymes,item_code_v_de_gnd,item_code_v_fipat_ta2,item_code_v_fipat_ta98_id,item_code_v_fipat_ta98_latin,item_code_v_fi_yso,item_code_v_freebase,item_code_v_fr_pactols,item_code_v_fr_universalis,item_code_v_it_bncf,item_code_v_it_treccani,item_code_v_jp_ndl,item_code_v_kbpedia,item_code_v_no_snl,item_code_v_ontobee_xao,item_code_v_ru_greo,item_code_v_uberon,item_code_v_uk_britannica,item_code_v_us_jstor,item_code_v_us_mag,item_code_v_us_mesh,item_code_v_us_umls_cui,item_name_v_wikidata_i_ar,item_name_v_wikidata_i_en,item_name_v_wikidata_i_es,item_name_v_wikidata_i_fr,item_name_v_wikidata_i_ru,item_name_v_wikidata_i_zh,item_name_v_wikidata_i_epo,item_name_v_wikidata_i_lat,item_name_v_wikidata_i_por,item_name_v_wikidata_i_tet,item_name_v_wikidata_i_yue
#item+v_wikidata,#item+code+v_au_aev,#item+code+v_babelnet,#item+code+v_cz_nkp,#item+code+v_cz_psh,#item+code+v_de_brendaenzymes,#item+code+v_de_gnd,#item+code+v_fipat_ta2,#item+code+v_fipat_ta98_id,#item+code+v_fipat_ta98_latin,#item+code+v_fi_yso,#item+code+v_freebase,#item+code+v_fr_pactols,#item+code+v_fr_universalis,#item+code+v_it_bncf,#item+code+v_it_treccani,#item+code+v_jp_ndl,,#item+code+v_no_snl,#item+code+v_ontobee_xao,#item+code+v_ru_greo,#item+code+v_uberon,#item+code+v_uk_britannica,#item+code+v_us_jstor,#item+code+v_us_mag,#item+code+v_us_mesh,#item+code+v_us_umls_cui,#item+name+v_wikidata+i_ar,,,,#item+name+v_wikidata+i_ru,#item+name+v_wikidata+i_zh,#item+name+v_wikidata+i_epo,#item+name+v_wikidata+i_lat,#item+name+v_wikidata+i_por,#item+name+v_wikidata+i_tet,#item+name+v_wikidata+i_yue
Q75855,,,,,,4121188-1,5416,A14.1.09.001,telencephalon,,/m/02ggm5,,,37784,,1087188,Cerebrum,,XAO_0000012,,1893,science/cerebrum,telencephalon,533869091,D054022,C0242202,مخ,cerebrum,telencéfalo,télencéphale,конечный мозг,端脑,Grandcerbo,Telencephalon,cérebro,,大腦
Q75855,,,,,,4121188-1,5416,A14.1.03.008,telencephalon,,/m/02ggm5,,,37784,,1087188,Cerebrum,,XAO_0000012,,1893,science/cerebrum,telencephalon,533869091,D054022,C0242202,مخ,cerebrum,telencéfalo,télencéphale,конечный мозг,端脑,Grandcerbo,Telencephalon,cérebro,,大腦
Q192298,,,,,,,154,A01.1.00.056,digitus quartus,,/m/03q2j2,,,,,,RingFinger,,,,3624,,,2781183200,,,بنصر,ring finger,dedo anular,annulaire,Безымянный палец,無名指,Ringofingro,Anularius,anular,,無名指
Q75839,,,,729,,4072114-0,5528,A14.1.09.301,pallium,7039,/m/0g0t_,,cortex-cerebral,2745,,1087199,,,,,956,science/cerebral-cortex,cerebral-cortex,2909002849,D002540,C0007776,قشرة مخية,cerebral cortex,corteza cerebral,cortex cérébral,Кора больших полушарий,大脑皮质,kortekso,Cortex cerebri,córtex cerebral,,大腦皮層
Q75839,,,,729,,4072114-0,5527,A14.1.09.301,pallium,7039,/m/0g0t_,,cortex-cerebral,2745,,1087199,,,,,956,science/cerebral-cortex,cerebral-cortex,2909002849,D002540,C0007776,قشرة مخية,cerebral cortex,corteza cerebral,cortex cérébral,Кора больших полушарий,大脑皮质,kortekso,Cortex cerebri,córtex cerebral,,大腦皮層
Q75839,,,,729,,4072114-0,5528,A14.1.09.003,pallium,7039,/m/0g0t_,,cortex-cerebral,2745,,1087199,,,,,956,science/cerebral-cortex,cerebral-cortex,2909002849,D002540,C0007776,قشرة مخية,cerebral cortex,corteza cerebral,cortex cérébral,Кора больших полушарий,大脑皮质,kortekso,Cortex cerebri,córtex cerebral,,大腦皮層
Q75839,,,,729,,4072114-0,5527,A14.1.09.003,pallium,7039,/m/0g0t_,,cortex-cerebral,2745,,1087199,,,,,956,science/cerebral-cortex,cerebral-cortex,2909002849,D002540,C0007776,قشرة مخية,cerebral cortex,corteza cerebral,cortex cérébral,Кора больших полушарий,大脑皮质,kortekso,Cortex cerebri,córtex cerebral,,大腦皮層
Q75839,,,,729,,4072114-0,5528,A14.1.09.301,cortex cerebri,7039,/m/0g0t_,,cortex-cerebral,2745,,1087199,,,,,956,science/cerebral-cortex,cerebral-cortex,2909002849,D002540,C0007776,قشرة مخية,cerebral cortex,corteza cerebral,cortex cérébral,Кора больших полушарий,大脑皮质,kortekso,Cortex cerebri,córtex cerebral,,大腦皮層
Q75839,,,,729,,4072114-0,5527,A14.1.09.301,cortex cerebri,7039,/m/0g0t_,,cortex-cerebral,2745,,1087199,,,,,956,science/cerebral-cortex,cerebral-cortex,2909002849,D002540,C0007776,قشرة مخية,cerebral cortex,corteza cerebral,cortex cérébral,Кора больших полушарий,大脑皮质,kortekso,Cortex cerebri,córtex cerebral,,大腦皮層
